問い合わせID,受付日時,初回応答日時,解決日時,チャネル,製品,カテゴリ,中分類,問い合わせ種別,優先度番号,優先度,顧客区分,ステータス番号,ステータス,フェーズ番号,フェーズ,エスカレ有無,再オープン有無,対応チーム,担当者,満足度,件名,自由記述
INQ-202404-00001,2024-04-04 09:17,2024-04-04 11:03,2024-04-07 09:03,電話,スマート勤怠,使い方,初期設定,クレーム,1,高,大企業,4,解決,4,解決,0,0,一次窓口,鈴木,4,CSVの取込手順が不明,対応が遅い
INQ-202404-00002,2024-04-25 16:44,2024-04-25 23:02,2024-04-28 10:02,メール,スマート勤怠,使い方,権限設定,質問,2,中,中小,5,クローズ,5,完了,0,1,一次窓口,佐藤,4,CSVの取込手順が不明,丁寧に教えてほしい
INQ-202404-00003,2024-04-18 11:40,2024-04-18 14:59,2024-04-20 02:59,メール,クラウド経費,仕様確認,対応環境,質問,2,中,大企業,5,クローズ,5,完了,0,1,一次窓口,田中,4,対応ブラウザを確認したい,急ぎで確認したい
INQ-202404-00004,2024-04-12 11:17,2024-04-12 13:14,2024-04-14 07:14,チャット,クラウド経費,使い方,操作方法,質問,2,中,大企業,5,クローズ,5,完了,0,0,一次窓口,鈴木,5,初期設定の方法を知りたい,丁寧に教えてほしい
INQ-202404-00005,2024-04-26 12:17,2024-04-26 14:28,2024-04-29 14:28,電話,クラウド経費,不具合,保存エラー,質問,3,低,中小,4,解決,4,解決,1,0,技術サポート,高橋,4,データが保存されない,急ぎで確認したい
INQ-202404-00006,2024-04-12 11:08,2024-04-12 15:12,2024-04-15 11:12,メール,スマート勤怠,使い方,初期設定,質問,2,中,大企業,5,クローズ,5,完了,0,0,技術サポート,伊藤,3,初期設定の方法を知りたい,マニュアルの場所を知りたい
INQ-202404-00007,2024-04-24 10:56,2024-04-24 17:31,2024-04-25 16:31,メール,スマート勤怠,仕様確認,対応環境,質問,1,高,大企業,5,クローズ,5,完了,0,0,技術サポート,伊藤,4,APIの有無について,急ぎで確認したい
INQ-202404-00008,2024-04-17 14:09,2024-04-17 21:19,2024-04-19 13:19,メール,スマート勤怠,要望,通知改善,障害報告,2,中,中小,5,クローズ,5,完了,0,0,一次窓口,佐藤,3,エクスポート機能がほしい,業務が止まっている
INQ-202404-00009,2024-04-24 13:04,2024-04-24 19:35,2024-04-25 21:35,Web,スマート勤怠,使い方,データ移行,障害報告,2,中,大企業,5,クローズ,5,完了,0,0,技術サポート,高橋,4,CSVの取込手順が不明,至急復旧してほしい
INQ-202404-00010,2024-04-29 13:07,2024-04-29 20:32,2024-05-01 15:32,電話,スマート勤怠,使い方,操作方法,クレーム,3,低,大企業,5,クローズ,5,完了,0,0,一次窓口,田中,1,権限設定について,説明が分かりにくい
INQ-202404-00011,2024-04-18 10:59,2024-04-18 18:26,2024-04-19 01:26,Web,クラウド経費,使い方,データ移行,要望,1,高,大企業,5,クローズ,5,完了,0,1,一次窓口,佐藤,4,初期設定の方法を知りたい,次期アップデートに期待
INQ-202404-00012,2024-04-24 12:55,2024-04-24 20:18,2024-04-27 19:18,電話,スマート勤怠,不具合,表示崩れ,質問,2,中,大企業,5,クローズ,5,完了,1,0,品質保証,渡辺,2,ログインできない,丁寧に教えてほしい
INQ-202404-00013,2024-04-30 15:15,2024-04-30 21:16,2024-05-03 21:16,電話,スマート勤怠,使い方,データ移行,障害報告,1,高,大企業,4,解決,4,解決,0,0,一次窓口,佐藤,4,初期設定の方法を知りたい,業務が止まっている
INQ-202404-00014,2024-04-19 15:03,2024-04-19 17:08,2024-04-21 21:08,チャット,スマート勤怠,仕様確認,上限・制限,質問,3,低,中小,5,クローズ,5,完了,0,1,一次窓口,田中,2,対応ブラウザを確認したい,マニュアルの場所を知りたい
INQ-202404-00015,2024-04-02 14:26,2024-04-02 18:25,2024-04-04 11:25,チャット,クラウド経費,使い方,権限設定,質問,2,中,中小,5,クローズ,5,完了,0,1,一次窓口,鈴木,5,初期設定の方法を知りたい,急ぎで確認したい
INQ-202404-00016,2024-04-19 18:04,2024-04-19 23:22,2024-04-22 19:22,メール,スマート勤怠,使い方,権限設定,要望,2,中,個人事業主,5,クローズ,5,完了,0,1,一次窓口,鈴木,1,CSVの取込手順が不明,業務効率化のため必要
INQ-202404-00017,2024-04-04 17:08,2024-04-04 21:31,2024-04-07 12:31,電話,クラウド経費,仕様確認,上限・制限,質問,3,低,中小,5,クローズ,5,完了,0,1,一次窓口,鈴木,3,対応ブラウザを確認したい,丁寧に教えてほしい
INQ-202404-00018,2024-04-09 09:21,2024-04-09 14:05,2024-04-09 19:05,チャット,クラウド経費,使い方,データ移行,質問,1,高,中小,5,クローズ,5,完了,0,0,一次窓口,鈴木,5,初期設定の方法を知りたい,急ぎで確認したい
INQ-202404-00019,2024-04-05 09:23,2024-04-05 15:51,2024-04-06 11:51,Web,クラウド経費,要望,UI改善,質問,1,高,大企業,5,クローズ,5,完了,0,0,技術サポート,伊藤,5,エクスポート機能がほしい,丁寧に教えてほしい
INQ-202404-00020,2024-04-29 12:11,2024-04-29 12:35,2024-05-02 01:35,チャット,スマート勤怠,要望,通知改善,要望,2,中,個人事業主,5,クローズ,5,完了,0,1,技術サポート,高橋,3,ダークモード対応の希望,他社にはある機能
INQ-202404-00021,2024-04-10 16:55,2024-04-11 00:11,2024-04-13 21:11,電話,スマート勤怠,使い方,権限設定,質問,3,低,大企業,5,クローズ,5,完了,0,0,一次窓口,鈴木,3,CSVの取込手順が不明,丁寧に教えてほしい
INQ-202404-00022,2024-04-19 18:16,2024-04-20 00:23,2024-04-22 08:23,電話,クラウド経費,使い方,権限設定,質問,1,高,個人事業主,4,解決,4,解決,0,1,品質保証,渡辺,1,権限設定について,マニュアルの場所を知りたい
INQ-202404-00023,2024-04-24 17:47,2024-04-24 20:39,2024-04-27 00:39,チャット,スマート勤怠,使い方,権限設定,クレーム,1,高,中小,5,クローズ,5,完了,0,0,品質保証,渡辺,4,初期設定の方法を知りたい,説明が分かりにくい
INQ-202404-00024,2024-04-22 17:43,2024-04-22 20:32,2024-04-25 08:32,チャット,スマート勤怠,不具合,動作が遅い,質問,2,中,大企業,5,クローズ,5,完了,1,0,一次窓口,鈴木,4,データが保存されない,丁寧に教えてほしい
INQ-202404-00025,2024-04-22 10:32,2024-04-22 15:49,2024-04-23 01:49,チャット,クラウド経費,使い方,操作方法,要望,1,高,大企業,5,クローズ,5,完了,0,1,一次窓口,田中,4,権限設定について,次期アップデートに期待
INQ-202404-00026,2024-04-23 15:31,2024-04-23 17:43,2024-04-24 09:43,メール,スマート勤怠,仕様確認,対応環境,要望,3,低,大企業,4,解決,4,解決,0,1,技術サポート,伊藤,4,APIの有無について,業務効率化のため必要
INQ-202404-00027,2024-04-18 14:48,2024-04-18 21:17,2024-04-20 05:17,Web,クラウド経費,仕様確認,セキュリティ,要望,3,低,中小,5,クローズ,5,完了,0,0,技術サポート,伊藤,5,APIの有無について,他社にはある機能
INQ-202404-00028,2024-04-08 11:04,2024-04-08 13:58,2024-04-11 11:58,チャット,スマート勤怠,使い方,初期設定,質問,2,中,大企業,5,クローズ,5,完了,0,0,技術サポート,高橋,4,CSVの取込手順が不明,急ぎで確認したい
INQ-202404-00029,2024-04-29 15:44,2024-04-29 22:05,2024-05-02 20:05,電話,クラウド経費,仕様確認,セキュリティ,質問,3,低,中小,5,クローズ,5,完了,0,1,技術サポート,伊藤,5,同時接続数の上限は,丁寧に教えてほしい
INQ-202404-00030,2024-04-09 12:01,2024-04-09 17:09,2024-04-09 21:09,メール,クラウド経費,請求,支払方法,質問,1,高,中小,5,クローズ,5,完了,0,0,技術サポート,高橋,1,契約プランの変更,丁寧に教えてほしい
INQ-202404-00031,2024-04-02 11:20,2024-04-02 16:01,2024-04-02 23:01,電話,スマート勤怠,仕様確認,セキュリティ,質問,2,中,個人事業主,4,解決,4,解決,0,0,技術サポート,伊藤,5,APIの有無について,丁寧に教えてほしい
INQ-202404-00032,2024-04-25 18:02,2024-04-25 20:18,2024-04-27 20:18,チャット,クラウド経費,使い方,初期設定,クレーム,2,中,大企業,5,クローズ,5,完了,0,0,一次窓口,田中,2,権限設定について,何度も同じ案内をされた
